skill,웹개발,네트워크/보안/운영,시스템엔지니어,소프트웨어엔지니어,QA,기획,데이터분석,모바일앱개발,프로젝트매니저,게임개발,DBA,컨설팅,하드웨어엔지니어,캐릭터디자인,그래픽디자인,애니메이션디자인,마케팅,시장조사/분석,소프트웨어아키텍트,웹퍼블리셔,UI/UX/GUI디자인,상품개발/기획/MD,경영기획/전략,광고/시각디자인,영상/모션디자인,영업기획/관리/지원,경영지원,ERP,일러스트레이터,웹디자인,기계,전자/반도체,제어,전기,반도체/디스플레이,전기/전자/제어,국내영업,음악/음향/사운드,IT/솔루션영업,온라인마케팅,전략마케팅,브랜드디자인,브랜드마케팅,출판/편집디자인,방송연출/PD/감독,고객지원/CS,조직문화,CRM,유지/수리/정비,기술영업,제품/산업디자인
Data,13,4,25,33,2,3,75,3,13,3,5,2,0,0,0,0,0,0,5,1,5,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
IOS,31,4,40,44,18,5,3,85,8,19,0,0,1,0,1,0,0,0,4,5,14,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C쁠쁠,22,9,90,157,3,2,7,10,2,37,3,0,3,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,2,9,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rails,7,0,8,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webpack,21,0,6,13,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JavaScript,118,5,41,91,1,3,2,20,2,3,0,0,2,0,0,0,0,0,5,35,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Azure,10,6,11,13,0,2,5,4,0,1,2,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vuejs,58,0,18,45,0,0,0,10,2,1,1,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ASP,18,3,9,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oracle,29,2,38,43,0,2,9,2,2,0,6,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Git,72,7,61,76,6,2,4,34,2,6,5,1,5,0,0,0,0,0,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GraphQL,13,0,12,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AngularJS,50,0,18,40,0,0,0,9,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax,18,0,7,10,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
DL,1,0,20,17,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,2,0,17,20,0,1,22,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB,59,20,79,92,2,4,39,17,5,14,19,2,2,0,0,0,1,0,7,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Redis,25,2,17,29,0,0,2,3,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slack,12,1,17,12,1,0,1,3,2,1,2,0,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeplin,1,0,10,4,1,0,0,5,2,1,0,0,0,0,1,1,0,0,0,1,21,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Nodejs,77,4,44,62,2,1,1,15,2,6,1,0,1,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sketch,1,0,5,0,1,1,0,0,2,0,0,0,0,0,2,1,0,0,0,1,27,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ReactJS,110,0,41,79,3,2,1,30,4,2,1,0,1,0,0,0,0,0,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kafka,5,2,10,18,0,0,12,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illustrator,0,0,1,0,0,1,0,0,0,2,0,0,0,0,8,1,0,0,0,1,15,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0
Photoshop,0,0,1,0,0,3,0,0,2,6,0,0,0,1,16,4,0,0,0,3,19,0,0,2,1,0,0,0,2,11,0,0,0,0,0,0,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0
Maya,0,0,1,0,0,0,1,0,4,2,0,0,0,0,21,8,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
