index,jobId,company,title,job,region,jobUrl,total_skill,total_skill_literal,reviewCount,average,salary,wlb,culture,possibility,management
310,1177569,(주)베이글코드,데이터 사이언티스트 / Data Scientist,데이터분석,서울,/companies/75788/job_postings/1177569/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8--data-scientist/%EB%B2%A0%EC%9D%B4%EA%B8%80%EC%BD%94%EB%93%9C?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Spark', 'Hadoop', 'Python', 'Data']",Spark Hadoop Python Data,12,4.0,4.0,3.0,4.0,3.0,3.0
311,1177564,(주)베이글코드,데이터 분석가 인턴 / BA Intern,데이터분석,서울,/companies/75788/job_postings/1177564/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D%EA%B0%80-%EC%9D%B8%ED%84%B4--ba-intern/%EB%B2%A0%EC%9D%B4%EA%B8%80%EC%BD%94%EB%93%9C?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['Python'],Python,12,4.0,4.0,3.0,4.0,3.0,3.0
312,1174946,(주)카카오모빌리티,Client (Android / iOS) 경력 개발자 영입 (경력 5년 이상),모바일앱개발,경기,/companies/326438/job_postings/1174946/client-android--ios-%EA%B2%BD%EB%A0%A5-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%98%81%EC%9E%85-%EA%B2%BD%EB%A0%A5-5%EB%85%84-%EC%9D%B4%EC%83%81/%EC%B9%B4%EC%B9%B4%EC%98%A4%EB%AA%A8%EB%B9%8C%EB%A6%AC%ED%8B%B0?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['IOS', 'Android', 'Java', 'Kotlin', 'Swift']",IOS Android Java Kotlin Swift,37,3.0,3.0,4.0,4.0,3.0,3.0
313,1169140,(주)카카오모빌리티,"카카오내비 IVI (안드로이드오토, 카플레이) 개발자",모바일앱개발,경기,/companies/326438/job_postings/1169140/%EC%B9%B4%EC%B9%B4%EC%98%A4%EB%82%B4%EB%B9%84-ivi-%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C%EC%98%A4%ED%86%A0-%EC%B9%B4%ED%94%8C%EB%A0%88%EC%9D%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90/%EC%B9%B4%EC%B9%B4%EC%98%A4%EB%AA%A8%EB%B9%8C%EB%A6%AC%ED%8B%B0?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['IOS', 'Android', 'Java', 'Kotlin', 'Swift']",IOS Android Java Kotlin Swift,37,3.0,3.0,4.0,4.0,3.0,3.0
315,1161754,(주)스마일게이트홀딩스,[기획] 그룹웨어 운영 기획 담당,기획,경기,/companies/314442/job_postings/1161754/%EA%B8%B0%ED%9A%8D-%EA%B7%B8%EB%A3%B9%EC%9B%A8%EC%96%B4-%EC%9A%B4%EC%98%81-%EA%B8%B0%ED%9A%8D-%EB%8B%B4%EB%8B%B9/%EC%8A%A4%EB%A7%88%EC%9D%BC%EA%B2%8C%EC%9D%B4%ED%8A%B8%ED%99%80%EB%94%A9%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['WEB'],WEB,61,3.0,3.0,3.0,3.0,3.0,2.0
316,1170252,(주)스마일게이트홀딩스,[개발] 그룹 메신저 개발/운영 담당 (대리급),"네트워크/보안/운영, 웹개발, 하드웨어엔지니어",경기,/companies/314442/job_postings/1170252/%EA%B0%9C%EB%B0%9C-%EA%B7%B8%EB%A3%B9-%EB%A9%94%EC%8B%A0%EC%A0%80-%EA%B0%9C%EB%B0%9C%EC%9A%B4%EC%98%81-%EB%8B%B4%EB%8B%B9-%EB%8C%80%EB%A6%AC%EA%B8%89/%EC%8A%A4%EB%A7%88%EC%9D%BC%EA%B2%8C%EC%9D%B4%ED%8A%B8%ED%99%80%EB%94%A9%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Spring', 'WEB', 'JIRA', 'JavaScript', 'Docker', 'Git', 'Slack', 'DB', 'Node닷js']",Spring WEB JIRA JavaScript Docker Git Slack DB Node닷js,61,3.0,3.0,3.0,3.0,3.0,2.0
318,1176337,잡플래닛 매칭서비스,대기업 계열 부동산개발기업 - DATA SCIENTIST(데이터 처리/구현 전문),"DBA(Database Admin.), 데이터분석",경기,/companies/320559/job_postings/1176337/%EB%8C%80%EA%B8%B0%EC%97%85-%EA%B3%84%EC%97%B4-%EB%B6%80%EB%8F%99%EC%82%B0%EA%B0%9C%EB%B0%9C%EA%B8%B0%EC%97%85---data-scientist%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%B2%98%EB%A6%AC%EA%B5%AC%ED%98%84-%EC%A0%84%EB%AC%B8/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD%EC%84%9C%EB%B9%84%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['TensorFlow', 'Spark', 'Python', 'Hadoop', 'ML', 'AWS', 'GCP', 'Data', 'PyTorch']",TensorFlow Spark Python Hadoop ML AWS GCP Data PyTorch,1,5.0,4.0,2.0,5.0,4.0,5.0
319,1176335,잡플래닛 매칭서비스,대기업계열 부동산개발기업 - DATA SCIENTIST(기획/전략 전문),"DBA(Database Admin.), 데이터분석",경기,/companies/320559/job_postings/1176335/%EB%8C%80%EA%B8%B0%EC%97%85%EA%B3%84%EC%97%B4-%EB%B6%80%EB%8F%99%EC%82%B0%EA%B0%9C%EB%B0%9C%EA%B8%B0%EC%97%85---data-scientist%EA%B8%B0%ED%9A%8D%EC%A0%84%EB%9E%B5-%EC%A0%84%EB%AC%B8/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD%EC%84%9C%EB%B9%84%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['TensorFlow', 'Spark', 'Python', 'Data', 'PyTorch']",TensorFlow Spark Python Data PyTorch,1,5.0,4.0,2.0,5.0,4.0,5.0
320,1177417,(주)버킷플레이스,Sr. Data Engineer,데이터분석,서울,/companies/274319/job_postings/1177417/sr-data-engineer-/%EB%B2%84%ED%82%B7%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Spark', 'AWS', 'Scala', 'Data']",Spark AWS Scala Data,27,3.0,3.0,3.0,4.0,3.0,3.0
321,1177404,(주)버킷플레이스,QA 담당자,QA(Quality Assurance),서울,/companies/274319/job_postings/1177404/qa-%EB%8B%B4%EB%8B%B9%EC%9E%90/%EB%B2%84%ED%82%B7%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['WEB', 'JIRA', 'Android', 'IOS', 'App']",WEB JIRA Android IOS App,27,3.0,3.0,3.0,4.0,3.0,3.0
